epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.5144,0.90572,2.76275,1.2322,0.63105,0.46198,0.49783,0.34249,1.06379,2.27431,1.64608,0.000329932,0.000329932,0.000329932
2,45.853,0.99475,1.868,1.3432,0.46143,0.28001,0.28468,0.18473,1.10968,3.4504,1.62401,0.000656699,0.000656699,0.000656699
3,61.9754,1.07007,1.76412,1.37358,0.62455,0.41021,0.43488,0.27337,1.31022,3.27913,2.00585,0.000976866,0.000976866,0.000976866
4,78.1261,1.011,1.58496,1.31421,0.30675,0.38106,0.29923,0.21749,1.14994,4.4745,1.74959,0.0009703,0.0009703,0.0009703
5,94.345,1.04938,1.53135,1.393,0.68986,0.34809,0.45325,0.32894,1.12855,2.35272,1.74167,0.0009604,0.0009604,0.0009604
6,110.512,1.04679,1.43741,1.37474,0.54296,0.40539,0.39773,0.28357,1.07869,2.04075,1.60836,0.0009505,0.0009505,0.0009505
7,126.793,1.0415,1.42669,1.35917,0.65742,0.64882,0.65398,0.44093,1.06955,2.02403,1.66075,0.0009406,0.0009406,0.0009406
8,143.201,1.0287,1.33644,1.38104,0.61695,0.59146,0.61464,0.42317,1.07959,1.47693,1.63204,0.0009307,0.0009307,0.0009307
9,159.872,0.98838,1.33974,1.31982,0.63265,0.49778,0.57431,0.39608,1.02258,1.88887,1.55796,0.0009208,0.0009208,0.0009208
10,175.798,0.9595,1.20252,1.32011,0.64581,0.62251,0.63676,0.44996,1.00317,1.34641,1.57084,0.0009109,0.0009109,0.0009109
11,191.75,0.97492,1.16192,1.36608,0.77172,0.58153,0.65689,0.44442,1.03574,1.22647,1.507,0.000901,0.000901,0.000901
12,207.373,0.95237,1.10567,1.29743,0.69749,0.66951,0.68422,0.4928,0.96645,1.10841,1.49566,0.0008911,0.0008911,0.0008911
13,222.659,0.9667,1.10554,1.36458,0.78077,0.57537,0.66917,0.47728,0.97458,1.15493,1.54035,0.0008812,0.0008812,0.0008812
14,239.614,0.94809,1.05934,1.3236,0.61462,0.68663,0.62475,0.46058,0.94738,1.25128,1.53531,0.0008713,0.0008713,0.0008713
15,258.32,0.92607,1.07303,1.29891,0.72865,0.65196,0.69844,0.49826,1.00099,1.05492,1.48926,0.0008614,0.0008614,0.0008614
16,277.161,0.93056,1.03604,1.31841,0.78952,0.61387,0.67715,0.49516,0.94264,1.02164,1.4942,0.0008515,0.0008515,0.0008515
17,295.773,0.85628,1.00194,1.24767,0.78046,0.65129,0.71427,0.52811,0.94106,0.98232,1.56389,0.0008416,0.0008416,0.0008416
18,314.889,0.90376,0.95804,1.31064,0.77163,0.61407,0.66047,0.48789,0.92241,1.11618,1.4965,0.0008317,0.0008317,0.0008317
19,333.545,0.87006,0.98545,1.26021,0.76205,0.57559,0.68314,0.50235,0.92664,1.06614,1.51395,0.0008218,0.0008218,0.0008218
20,352.471,0.87768,0.97176,1.27395,0.71621,0.70991,0.73055,0.51328,0.91605,1.00959,1.46619,0.0008119,0.0008119,0.0008119
21,371.193,0.86222,0.88705,1.25885,0.78951,0.6398,0.72687,0.53813,0.9169,0.97719,1.4929,0.000802,0.000802,0.000802
22,390.173,0.84622,0.87391,1.22184,0.79868,0.61295,0.72264,0.50996,0.97433,1.04124,1.56558,0.0007921,0.0007921,0.0007921
23,409.274,0.82907,0.83667,1.25243,0.75111,0.73382,0.73673,0.54787,0.87513,0.88558,1.47497,0.0007822,0.0007822,0.0007822
