epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1382.25,0.83968,0.67089,1.05361,0.92671,0.74512,0.7862,0.49838,1.26016,0.88889,1.2311,0.0005941,0.0005941,0.0005941
43,1411.09,0.79885,0.64414,1.03603,0.91449,0.7003,0.77008,0.49503,1.35816,0.89376,1.25261,0.0005842,0.0005842,0.0005842
44,1442.12,0.79157,0.63257,1.02874,0.85604,0.68885,0.7463,0.48939,1.27314,0.96624,1.21393,0.0005743,0.0005743,0.0005743
45,1469.12,0.78158,0.63474,1.02293,0.77782,0.67144,0.72636,0.52352,0.92621,0.91255,1.12845,0.0005644,0.0005644,0.0005644
46,1498.69,0.77583,0.6402,1.01511,0.84417,0.70145,0.77734,0.56211,0.85991,0.8558,1.08704,0.0005545,0.0005545,0.0005545
47,1527.66,0.75205,0.59962,1.01498,0.84072,0.7242,0.76821,0.57344,0.83737,0.82805,1.08623,0.0005446,0.0005446,0.0005446
48,1564.48,0.75822,0.60806,1.02129,0.91111,0.72156,0.78617,0.58339,0.85802,0.75496,1.08842,0.0005347,0.0005347,0.0005347
49,1592.02,0.76302,0.61328,1.01949,0.85493,0.73493,0.77516,0.5412,0.88364,0.88536,1.11152,0.0005248,0.0005248,0.0005248
50,1621.41,0.79017,0.60768,1.02897,0.85033,0.69649,0.76742,0.5531,0.91213,0.86143,1.1118,0.0005149,0.0005149,0.0005149
51,1651.92,0.72718,0.58025,1.01028,0.89017,0.74749,0.80282,0.57819,0.86777,0.78947,1.09204,0.000505,0.000505,0.000505
52,1681.34,0.761,0.58621,1.02534,0.89004,0.74772,0.78833,0.57602,0.8417,0.80095,1.07548,0.0004951,0.0004951,0.0004951
53,1715.01,0.766,0.59519,1.01601,0.87347,0.73471,0.78584,0.55949,0.89638,0.86413,1.10479,0.0004852,0.0004852,0.0004852
54,1747.55,0.76458,0.609,1.01869,0.93544,0.70971,0.79524,0.56342,0.87163,0.8198,1.08136,0.0004753,0.0004753,0.0004753
55,1781.18,0.76771,0.5489,1.013,0.91515,0.73073,0.80308,0.59196,0.85069,0.7171,1.08052,0.0004654,0.0004654,0.0004654
56,1808.78,0.75232,0.58187,1.00811,0.89028,0.70669,0.77927,0.55717,0.93675,0.79102,1.13185,0.0004555,0.0004555,0.0004555
57,1840.14,0.72919,0.54835,0.98356,0.91697,0.73036,0.81319,0.58306,0.84469,0.71425,1.11135,0.0004456,0.0004456,0.0004456
58,1871.41,0.73846,0.56511,1.00416,0.9174,0.71472,0.78791,0.60188,0.81888,0.76291,1.07735,0.0004357,0.0004357,0.0004357
59,1899.27,0.72447,0.56299,1.01234,0.88295,0.74873,0.80192,0.60721,0.83091,0.7304,1.05656,0.0004258,0.0004258,0.0004258
60,1934.12,0.69599,0.52804,0.98046,0.87173,0.76977,0.80912,0.55963,0.95852,0.733,1.08736,0.0004159,0.0004159,0.0004159
61,1963.84,0.70089,0.53483,0.98236,0.93716,0.73124,0.79532,0.55042,1.04082,0.77873,1.13012,0.000406,0.000406,0.000406
62,1993.27,0.70327,0.52895,0.99577,0.90096,0.75456,0.78904,0.58183,0.83405,0.71696,1.08188,0.0003961,0.0003961,0.0003961
63,2023.94,0.6569,0.50064,0.96687,0.85851,0.7514,0.80226,0.58471,0.81418,0.76329,1.06726,0.0003862,0.0003862,0.0003862
64,2054.91,0.66827,0.49338,0.98305,0.89675,0.74453,0.80257,0.58885,0.81982,0.73939,1.06236,0.0003763,0.0003763,0.0003763
65,2080.41,0.71829,0.53635,1.00291,0.91158,0.78284,0.81319,0.60508,0.88636,0.67058,1.07077,0.0003664,0.0003664,0.0003664
66,2114.11,0.70541,0.52819,0.97847,0.90251,0.77041,0.80004,0.59589,0.8386,0.68244,1.07143,0.0003565,0.0003565,0.0003565
67,2139.15,0.67939,0.52322,0.9832,0.92214,0.74703,0.7974,0.58436,0.8308,0.71616,1.07584,0.0003466,0.0003466,0.0003466
68,2178.06,0.6573,0.5127,0.97676,0.94603,0.76683,0.8206,0.59362,0.84156,0.67548,1.0803,0.0003367,0.0003367,0.0003367
69,2207.93,0.68002,0.52654,0.98105,0.91227,0.78086,0.8248,0.6021,0.89073,0.66266,1.09222,0.0003268,0.0003268,0.0003268
70,2233.03,0.65174,0.47562,0.96845,0.9023,0.74471,0.81273,0.60305,0.88805,0.68875,1.10173,0.0003169,0.0003169,0.0003169
71,2262.08,0.66798,0.49691,0.98097,0.91799,0.74159,0.79066,0.60073,0.7986,0.66291,1.07422,0.000307,0.000307,0.000307
72,2295.75,0.68734,0.48342,0.97964,0.92691,0.7498,0.80009,0.59519,0.80524,0.70349,1.05586,0.0002971,0.0002971,0.0002971
73,2324.72,0.65625,0.47841,0.9637,0.95014,0.75018,0.81855,0.58496,0.91614,0.68787,1.08219,0.0002872,0.0002872,0.0002872
74,2355.25,0.6603,0.47855,0.96641,0.94599,0.75938,0.81568,0.60228,0.84184,0.66565,1.06153,0.0002773,0.0002773,0.0002773
75,2387.25,0.65595,0.47383,0.9862,0.92749,0.77411,0.81083,0.60256,0.8895,0.66929,1.05811,0.0002674,0.0002674,0.0002674
76,2418.46,0.63234,0.46698,0.96993,0.91744,0.75922,0.79507,0.58435,0.86774,0.68737,1.06604,0.0002575,0.0002575,0.0002575
77,2446.76,0.62877,0.45483,0.96333,0.94232,0.76902,0.80448,0.60189,0.85806,0.66693,1.05684,0.0002476,0.0002476,0.0002476
78,2476.3,0.63395,0.45631,0.96604,0.91914,0.75791,0.79816,0.58733,0.88783,0.66611,1.06122,0.0002377,0.0002377,0.0002377
79,2501.82,0.63114,0.44742,0.95927,0.89251,0.77828,0.79774,0.59396,0.89524,0.68906,1.07752,0.0002278,0.0002278,0.0002278
