Wall time,Step,Value
1769120246.6932323,0,0.21279096603393555
1769120568.4955037,1,0.1683526635169983
1769120897.6754477,2,0.16158966720104218
1769121218.720919,3,0.14061833918094635
1769121524.8556936,4,0.13265731930732727
1769121825.1113718,5,0.1296864151954651
1769122133.6825464,6,0.12251176685094833
1769122466.2959592,7,0.12173344194889069
1769122796.6865582,8,0.11662235110998154
1769123121.0142272,9,0.10831397026777267
1769123446.6253436,10,0.09515684843063354
1769123766.277521,11,0.08101144433021545
