epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3880.06,0.68928,0.53854,1.01774,0.88717,0.76232,0.80809,0.61011,0.86081,0.67094,1.13096,0.0005941,0.0005941,0.0005941
43,3990.83,0.71953,0.54439,1.04466,0.88109,0.76144,0.78401,0.59806,0.86365,0.71564,1.12724,0.0005842,0.0005842,0.0005842
44,4096.5,0.69774,0.5574,1.04334,0.93175,0.7766,0.82638,0.63497,0.82285,0.64582,1.10617,0.0005743,0.0005743,0.0005743
45,4201.57,0.70401,0.54824,1.04122,0.92474,0.7566,0.80292,0.62664,0.79741,0.67108,1.08433,0.0005644,0.0005644,0.0005644
46,4289.89,0.68044,0.53998,1.01947,0.89708,0.76714,0.80138,0.62531,0.81662,0.63103,1.11346,0.0005545,0.0005545,0.0005545
47,4398.87,0.65698,0.51491,1.00138,0.94023,0.76692,0.8321,0.63739,0.80736,0.58065,1.12136,0.0005446,0.0005446,0.0005446
48,4508.4,0.70014,0.52299,1.04252,0.93759,0.77487,0.83622,0.62529,0.81207,0.6712,1.15429,0.0005347,0.0005347,0.0005347
49,4608.72,0.66903,0.50168,1.028,0.92786,0.79932,0.80719,0.6251,0.81235,0.6644,1.15304,0.0005248,0.0005248,0.0005248
50,4743.13,0.67067,0.53356,1.01198,0.89383,0.75669,0.78376,0.61863,0.78734,0.63813,1.14257,0.0005149,0.0005149,0.0005149
51,4856.39,0.64312,0.52666,1.01018,0.84585,0.78502,0.79857,0.61944,0.79115,0.60574,1.15134,0.000505,0.000505,0.000505
52,4975.79,0.65216,0.51122,1.01525,0.90923,0.76422,0.79926,0.63198,0.76044,0.60836,1.1223,0.0004951,0.0004951,0.0004951
53,5097.17,0.64489,0.49309,1.00719,0.9278,0.79871,0.82379,0.63825,0.78418,0.58232,1.10505,0.0004852,0.0004852,0.0004852
54,5221.99,0.66978,0.52114,1.02565,0.93958,0.7828,0.81986,0.62053,0.77658,0.60566,1.11256,0.0004753,0.0004753,0.0004753
55,5328.34,0.61842,0.48299,0.98979,0.91932,0.77252,0.81998,0.61564,0.81058,0.63018,1.09888,0.0004654,0.0004654,0.0004654
56,5453.13,0.64481,0.46784,1.01577,0.91269,0.78822,0.8198,0.61241,0.85778,0.63006,1.09589,0.0004555,0.0004555,0.0004555
57,5571.83,0.63153,0.48758,1.00488,0.92828,0.78428,0.81632,0.62341,0.77514,0.57321,1.11039,0.0004456,0.0004456,0.0004456
58,5695.62,0.62229,0.46257,0.98877,0.88944,0.78178,0.78484,0.61495,0.77298,0.58981,1.12957,0.0004357,0.0004357,0.0004357
59,5809.51,0.66598,0.48503,1.01469,0.91659,0.73758,0.81504,0.61728,0.80321,0.60637,1.12721,0.0004258,0.0004258,0.0004258
