Wall time,Step,Value
1769120246.6842551,0,0.8389294743537903
1769120568.4955037,1,0.5628698468208313
1769120897.6754477,2,0.5187596082687378
1769121218.7199214,3,0.47579097747802734
1769121524.8556936,4,0.4398209750652313
1769121825.1113718,5,0.4206308126449585
1769122133.6815548,6,0.3918907940387726
1769122466.2949617,7,0.35248658061027527
1769122796.6865582,8,0.3219803273677826
1769123121.0132322,9,0.29735293984413147
1769123446.6253436,10,0.2736656069755554
1769123766.2765121,11,0.213461771607399
